address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon
Свердловская область;Екатеринбург;район Октябрьский;Латвийская ул.;д.51,район Октябрьский,Латвийская ул.,д.51,"56.796772,60.763079",64.0,3050000,47656,56.796772,60.763079
Свердловская область;Екатеринбург;район Железнодорожный;ул. Бебеля;д.156,район Железнодорожный,ул. Бебеля,д.156,"56.868684,60.553601",58.0,3090000,53275,56.868684,60.553601
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Ломоносова;д.157,район Орджоникидзевский,ул. Ломоносова,д.157,"56.911023,60.611192",54.0,3099000,57388,56.911023,60.611192
Свердловская область;Екатеринбург;район Железнодорожный;Автомагистральная ул.;д.3,район Железнодорожный,Автомагистральная ул.,д.3,"56.867877,60.564291",59.0,3050000,51694,56.867877,60.564291
Свердловская область;Екатеринбург;район Чкаловский;пер. Энергетиков;д.8,район Чкаловский,пер. Энергетиков,д.8,"56.747309,60.604005",58.0,3149000,54293,56.747309,60.604005
Свердловская область;Екатеринбург;район Верх-Исетский;Удельная ул.;д.8,район Верх-Исетский,Удельная ул.,д.8,"56.798088,60.487179",50.4,3140000,62301,56.798088,60.487179
Свердловская область;Екатеринбург;район Железнодорожный;Новая Сортировка мкр;ул. Пехотинцев;д.9,Новая Сортировка мкр,ул. Пехотинцев,д.9,"56.869205,60.556233",59.0,3100000,52542,56.869205,60.556233
Свердловская область;Екатеринбург;район Чкаловский;ул. Олега Кошевого;д.44,район Чкаловский,ул. Олега Кошевого,д.44,"56.778026,60.640001",54.7,3100000,56672,56.778026,60.640001
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Братская;д.23,Вторчермет мкр,ул. Братская,д.23,"56.777301,60.599433",59.0,3100000,52542,56.777301,60.599433
Свердловская область;Екатеринбург;район Верх-Исетский;Красноуральская ул.;д.27к2,район Верх-Исетский,Красноуральская ул.,д.27к2,"56.831940,60.557625",54.0,3100000,57407,56.831940,60.557625
Свердловская область;Екатеринбург;район Чкаловский;Елизавет мкр;ул. Бисертская;д.22,Елизавет мкр,ул. Бисертская,д.22,"56.744264,60.615153",65.0,3100000,47692,56.744264,60.615153
Свердловская область;Екатеринбург;район Орджоникидзевский;Донбасская ул.;д.16,район Орджоникидзевский,Донбасская ул.,д.16,"56.888972,60.568728",56.0,3100000,55357,56.888972,60.568728
