address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon
Москва;район Раменки;Мосфильмовская ул.;д.70к5,район Раменки,Мосфильмовская ул.,д.70к5,"55.715728,37.508005",143.0,58850000,411538,55.715728,37.508005
Москва;район Крылатское;Островной проезд;д.4,район Крылатское,Островной проезд,д.4,"55.758017,37.448986",131.3,59000000,449352,55.758017,37.448986
Москва;район Раменки;Ломоносовский просп.;д.25к5,район Раменки,Ломоносовский просп.,д.25к5,"55.692008,37.530939",144.7,60000000,414651,55.692008,37.530939
Москва;район Пресненский;Малая Никитская ул.;д.10,район Пресненский,Малая Никитская ул.,д.10,"55.758230,37.594881",110.0,59900000,544545,55.758230,37.594881
Москва;район Очаково-Матвеевское;Нежинская ул.;д.1к1,район Очаково-Матвеевское,Нежинская ул.,д.1к1,"55.718973,37.478908",115.0,60000000,521739,55.718973,37.478908
Москва;район Фили-Давыдково;Давыдковская ул.;д.3,район Фили-Давыдково,Давыдковская ул.,д.3,"55.727460,37.479977",136.0,61000000,448529,55.727460,37.479977
Москва;район Красносельский;пер. Даев;д.19,район Красносельский,пер. Даев,д.19,"55.770208,37.638036",117.0,61427238,525019,55.770208,37.638036
Москва;район Пресненский;Шмитовский проезд;д.16С2,район Пресненский,Шмитовский проезд,д.16С2,"55.758073,37.547144",134.0,63020400,470301,55.758073,37.547144
Москва;район Дорогомилово;Большая Дорогомиловская ул.;д.4,район Дорогомилово,Большая Дорогомиловская ул.,д.4,"55.745990,37.570680",125.0,63020400,504163,55.745990,37.570680
Москва;район Сокольники;Русаковская ул.;д.31,район Сокольники,Русаковская ул.,д.31,"55.788424,37.678541",130.0,64000000,492307,55.788424,37.678541
Москва;район Таганский;ул. Талалихина;д.8,район Таганский,ул. Талалихина,д.8,"55.736143,37.676286",130.0,65000000,500000,55.736143,37.676286
Москва;район Раменки;Ломоносовский просп.;д.25к2,район Раменки,Ломоносовский просп.,д.25к2,"55.695195,37.530229",140.0,65000000,464285,55.695195,37.530229
Москва;район Якиманка;2-й Казачий пер.;д.4С1,район Якиманка,2-й Казачий пер.,д.4С1,"55.733964,37.620905",70.1,64900000,925820,55.733964,37.620905
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",150.0,65000000,433333,55.723237,37.527903
Москва;район Хамовники;ул. Ефремова;д.10к1,район Хамовники,ул. Ефремова,д.10к1,"55.725331,37.573717",100.8,65500000,649801,55.725331,37.573717
Москва;район Хамовники;Комсомольский просп.;д.42С2,район Хамовники,Комсомольский просп.,д.42С2,"55.721731,37.572899",104.0,66171420,636263,55.721731,37.572899
Москва;район Хамовники;ул. Ефремова;д.10с1к4/3,район Хамовники,ул. Ефремова,д.10с1к4/3,"55.725164,37.574525",83.0,66500000,801204,55.725164,37.574525
Москва;район Хамовники;ул. Ефремова;д.10к1,район Хамовники,ул. Ефремова,д.10к1,"55.725331,37.573717",83.0,66500000,801204,55.725331,37.573717
Москва;район Даниловский;ул. Серпуховский Вал;д.21к1,район Даниловский,ул. Серпуховский Вал,д.21к1,"55.710809,37.610404",129.0,68000000,527131,55.710809,37.610404
Москва;район Раменки;Воробьевское ш.;д.4,район Раменки,Воробьевское ш.,д.4,"55.727693,37.535359",125.0,68250000,546000,55.727693,37.535359
Москва;район Даниловский;ул. Серпуховский Вал;д.21к1,район Даниловский,ул. Серпуховский Вал,д.21к1,"55.710809,37.610404",129.0,68000000,527131,55.710809,37.610404
Москва;район Фили-Давыдково;Давыдковская ул.;д.3,район Фили-Давыдково,Давыдковская ул.,д.3,"55.727460,37.479977",198.0,68000000,343434,55.727460,37.479977
Москва;район Тверской;Большая Грузинская ул.;д.69,район Тверской,Большая Грузинская ул.,д.69,"55.773975,37.586086",111.0,69322440,624526,55.773975,37.586086
Москва;район Якиманка;Погорельский пер.;д.6,район Якиманка,Погорельский пер.,д.6,"55.732839,37.622306",98.4,69322440,704496,55.732839,37.622306
Москва;район Арбат;Борисоглебский пер.;д.8С1,район Арбат,Борисоглебский пер.,д.8С1,"55.754345,37.590237",116.0,70000000,603448,55.754345,37.590237
Москва;район Западное Дегунино;Дмитровское ш.;д.81,район Западное Дегунино,Дмитровское ш.,д.81,"55.861176,37.549426",52.6,10645826,202392,55.861176,37.549426
Москва;район Солнцево;ул. Авиаторов;д.5,район Солнцево,ул. Авиаторов,д.5,"55.640929,37.398851",51.3,10700000,208576,55.640929,37.398851
Москва;район Южное Бутово;ул. Поляны;д.7,район Южное Бутово,ул. Поляны,д.7,"55.552408,37.552157",57.7,10750000,186308,55.552408,37.552157
Москва;район Сокол;Светлый проезд;д.6К2,район Сокол,Светлый проезд,д.6К2,"55.813253,37.490227",57.2,10800000,188811,55.813253,37.490227
Москва;район Академический;просп. 60-летия Октября;д.23К1,район Академический,просп. 60-летия Октября,д.23К1,"55.691399,37.576789",48.0,10900000,227083,55.691399,37.576789
Москва;район Солнцево;Мещерский лес ЖК;д.к5с1,район Солнцево,Мещерский лес ЖК,д.к5с1,"55.661948,37.421443",65.5,10990000,167786,55.661948,37.421443
Москва;район Бескудниковский;Бескудниковский бул.;д.21К2,район Бескудниковский,Бескудниковский бул.,д.21К2,"55.866687,37.557107",63.0,10900000,173015,55.866687,37.557107
Москва;район Очаково-Матвеевское;Большая Очаковская ул.;д.12к4,район Очаково-Матвеевское,Большая Очаковская ул.,д.12к4,"55.686954,37.461230",60.3,11000000,182421,55.686954,37.461230
Москва;район Кунцево;Молодогвардейская ул.;д.36К6,район Кунцево,Молодогвардейская ул.,д.36К6,"55.737279,37.416305",49.7,11000000,221327,55.737279,37.416305
Москва;район Очаково-Матвеевское;Большая Очаковская ул.;д.12к4,район Очаково-Матвеевское,Большая Очаковская ул.,д.12к4,"55.686954,37.461230",60.4,11000000,182119,55.686954,37.461230
Москва;район Отрадное;Нововладыкинский проезд;д.1к2,район Отрадное,Нововладыкинский проезд,д.1к2,"55.850368,37.578181",59.7,11035000,184840,55.850368,37.578181
Москва;район Куркино;Ландышевая ул.;д.14К1,район Куркино,Ландышевая ул.,д.14К1,"55.884610,37.388421",53.0,11020000,207924,55.884610,37.388421
Москва;район Косино-Ухтомский;ул. Дмитриевского;д.11,район Косино-Ухтомский,ул. Дмитриевского,д.11,"55.709064,37.890957",63.0,11100000,176190,55.709064,37.890957
Москва;район Нагатинский затон;Коломенская ул.;д.3,район Нагатинский затон,Коломенская ул.,д.3,"55.684183,37.706613",66.7,11250000,168665,55.684183,37.706613
Москва;Московский;район Юго-Западный;3-й мкр;д.12,район Юго-Западный,3-й мкр,д.12,"55.595323,37.339849",72.9,11400000,156485,55.595323,37.339849
Москва;район Соколиная гора;просп. Буденного;д.51к1,район Соколиная гора,просп. Буденного,д.51к1,"55.760449,37.737767",63.7,11432000,179466,55.760449,37.737767
Москва;район Войковский;ул. Космонавта Волкова;д.7,район Войковский,ул. Космонавта Волкова,д.7,"55.815999,37.509550",53.0,11400000,215094,55.815999,37.509550
Москва;район Ростокино;просп. Мира;д.188Бк4,район Ростокино,просп. Мира,д.188Бк4,"55.834568,37.659622",65.0,11300000,173846,55.834568,37.659622
Москва;район Вешняки;Вешняковская ул.;д.18к1,район Вешняки,Вешняковская ул.,д.18к1,"55.723607,37.824032",50.8,11360000,223622,55.723607,37.824032
Москва;район Бирюлево Восточное;6-я Радиальная ул.;д.5к3,район Бирюлево Восточное,6-я Радиальная ул.,д.5к3,"55.604651,37.661132",72.7,11350000,156121,55.604651,37.661132
Москва;район Отрадное;ул. Римского-Корсакова;д.11к7,район Отрадное,ул. Римского-Корсакова,д.11к7,"55.875501,37.602247",68.5,11500000,167883,55.875501,37.602247
Москва;Внуковское поселение;район Внуковское;ул. Самуила Маршака;д.15,район Внуковское,ул. Самуила Маршака,д.15,"55.637510,37.328503",64.5,11500000,178294,55.637510,37.328503
Москва;район Хорошево-Мневники;ул. Маршала Тухачевского;д.24К3,район Хорошево-Мневники,ул. Маршала Тухачевского,д.24К3,"55.785670,37.476196",51.3,11500000,224171,55.785670,37.476196
Москва;район Бабушкинский;ул. Менжинского;д.32К3,район Бабушкинский,ул. Менжинского,д.32К3,"55.870157,37.665938",54.0,11600000,214814,55.870157,37.665938
Москва;район Бутырский;Новодмитровская ул.;д.2к7,район Бутырский,Новодмитровская ул.,д.2к7,"55.802462,37.591934",64.8,11590000,178858,55.802462,37.591934
