address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct,distr
Санкт-Петербург;район Московский;Кубинская ул.,unknown,Кубинская ул., 82,"59.841908,30.302899",70.2,7035118,100272,59.841908,30.302899,1,"МО №46 ""Новоизмайловское"""
Санкт-Петербург;район Невский;Усть-Славянка тер.;ул. Заводская,район Невский,Заводская ул., 16,"59.831803,30.546628",79.9,7068642,88501,59.831803,30.546628,1,"МО №52 ""Рыбацкое"""
Санкт-Петербург;район Московский;Кубинская ул.,unknown,Кубинская ул., 82,"59.841908,30.302899",70.2,7035118,100272,59.841908,30.302899,1,"МО №46 ""Новоизмайловское"""
Санкт-Петербург;район Красносельский;Петергофское ш.,unknown,Петергофское ш., 76 корпус 17,"59.842993,30.114456",82.5,7065418,85682,59.84299300000001,30.114456,1,"МО №39 ""Сосновая Поляна"""
Санкт-Петербург;район Фрунзенский;Расстанная ул.;д.19,район Фрунзенский,Расстанная ул.,д.19,"59.905651,30.352735",67.6,7000000,103550,59.905651,30.352735,1,"МО №71 ""Волковское"""
Санкт-Петербург;Пушкин;район Пушкинский;Гусарская ул.,Пушкин,ул. Ломоносова, 29,"59.695338,30.410222",83.3,7133487,85594,59.695338,30.410222,1,"МО ""п. Парголово"""
Санкт-Петербург;район Московский;проезд Дизельный,unknown,Московское ш., 19,"59.820418,30.340689",80.3,7105665,88500,59.820418,30.340689,1,"МО №48 ""Звездное"""
Санкт-Петербург;пос. Парголово;район Выборгский;Заречная ул.;д.10,район Выборгский,Заречная ул.,д.10,"60.072812,30.320755",76.2,7149415,93824,60.072812,30.320755,1,"МО ""п. Парголово"""
Санкт-Петербург;район Московский;проезд Дизельный,unknown,Московское ш., 19,"59.820418,30.340689",80.3,7145810,89000,59.820418,30.340689,1,"МО №48 ""Звездное"""
Санкт-Петербург;район Московский;проезд Дизельный,unknown,Московское ш., 19,"59.820418,30.340689",80.3,7145810,89000,59.820418,30.340689,1,"МО №48 ""Звездное"""
Санкт-Петербург;район Приморский;Белоостровская ул.,unknown,Белоостровская ул., 8,"59.985548,30.324659",64.6,7193511,111423,59.985548,30.324659000000004,1,unknown
Санкт-Петербург;Колпино;район Колпинский;Павловская ул.,Колпино,Павловская ул., 7А,"59.747957,30.589056",91.0,7189000,79000,59.74795699999999,30.589056,1,"МО ""г. Колпино"""
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,ул. Дыбенко, 7,"59.899061,30.451657",71.1,7211575,101428,59.899061,30.451657,1,unknown
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,ул. Дыбенко, 7,"59.899061,30.451657",69.8,7219125,103425,59.899061,30.451657,1,unknown
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,ул. Дыбенко, 7,"59.899061,30.451657",69.0,7176000,104000,59.899061,30.451657,1,unknown
