address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Верх-Исетский;Широкая Речка мкр;ул. Тенистая,район Верх-Исетский,Широкая Речка мкр,ул. Тенистая,"56.800084,60.502527",45.9,2630000,57261
Свердловская область;Екатеринбург;район Верх-Исетский;Широкая Речка мкр;ул. Тенистая,район Верх-Исетский,Широкая Речка мкр,ул. Тенистая,"56.800084,60.502527",45.8,2620000,57180
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Данилы Зверева;д.16,Пионерский мкр,ул. Данилы Зверева,д.16,"56.863282,60.653610",42.2,2650000,62796
Свердловская область;Екатеринбург;район Верх-Исетский;Широкая Речка мкр;ул. Тенистая,район Верх-Исетский,Широкая Речка мкр,ул. Тенистая,"56.800570,60.501143",45.8,2657000,58013
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Академика Бардина;д.33,Юго-Западный мкр,ул. Академика Бардина,д.33,"56.800843,60.568710",37.0,2685000,72567
Свердловская область;Екатеринбург;район Железнодорожный;Ангарская ул.;д.46,район Железнодорожный,Ангарская ул.,д.46,"56.887836,60.510589",44.0,2700000,61363
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. 22-го Партсъезда;д.12,район Орджоникидзевский,ул. 22-го Партсъезда,д.12,"56.887821,60.577307",43.0,2700000,62790
Свердловская область;Екатеринбург;район Верх-Исетский;Широкая Речка мкр;ул. Тенистая,район Верх-Исетский,Широкая Речка мкр,ул. Тенистая,"56.800570,60.501143",45.8,2710000,59144
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798395,60.513065",51.7,2712000,52497
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798595,60.513173",52.0,2702000,51961
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798395,60.513065",52.0,2741000,52711
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798395,60.513065",51.3,2790000,54385
Свердловская область;Екатеринбург;район Чкаловский;ул. Прониной,Екатеринбург,район Чкаловский,ул. Прониной,"56.778160,60.657773",50.0,2760000,55200
Свердловская область;Екатеринбург;район Кировский;Восточная ул.;д.36,район Кировский,Восточная ул.,д.36,"56.847331,60.627065",43.0,2800000,65116
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Начдива Онуфриева;д.58,Юго-Западный мкр,ул. Начдива Онуфриева,д.58,"56.793583,60.570920",48.0,2800000,58333
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798595,60.513173",54.0,2816000,52148
Свердловская область;Екатеринбург;район Ленинский;ул. Серова;д.2,район Ленинский,ул. Серова,д.2,"56.816060,60.595705",45.0,2820000,62666
Свердловская область;Екатеринбург;район Верх-Исетский;Гурзуфская ул.;д.24,район Верх-Исетский,Гурзуфская ул.,д.24,"56.825853,60.580613",43.6,2870000,65825
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798595,60.513173",51.4,2858000,55592
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Краснофлотцев;д.24А,Эльмаш мкр,ул. Краснофлотцев,д.24А,"56.889837,60.633425",62.4,2900000,46474
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Хомякова;д.18,район Верх-Исетский,ул. Хомякова,д.18,"56.841980,60.575026",43.0,2944000,68465
Свердловская область;Екатеринбург;район Кировский;ул. Коминтерна;д.7,район Кировский,ул. Коминтерна,д.7,"56.836603,60.656763",47.3,2950000,62367
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Уральская;д.58к2,Пионерский мкр,ул. Уральская,д.58к2,"56.856781,60.629454",44.0,2950000,67045
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798595,60.513173",53.0,2988000,56377
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798595,60.513173",53.0,2988000,56377
