address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Кунцево;Молодогвардейская ул.;д.24,район Кунцево,Молодогвардейская ул.,д.24,"55.735307,37.420132",62.2,12900000,207395
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",64.0,8450000,132031
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",64.0,8450000,132031
Москва;район Черемушки;Херсонская ул.;д.43,район Черемушки,Херсонская ул.,д.43,"55.659231,37.560835",60.0,19750000,329166
Москва;район Орехово-Борисово Северное;Шипиловская ул.;д.8к1,район Орехово-Борисово Северное,Шипиловская ул.,д.8к1,"55.617068,37.700541",50.2,11500000,229083
Москва;район Восточное Измайлово;12-я Парковая ул.;д.5,район Восточное Измайлово,12-я Парковая ул.,д.5,"55.789644,37.810045",42.3,6810300,161000
Москва;район Обручевский;Ленинский просп.;д.99,район Обручевский,Ленинский просп.,д.99,"55.668630,37.518758",50.8,18034000,355000
Москва;район Раменки;ул. Лобачевского;д.118к1,район Раменки,ул. Лобачевского,д.118к1,"55.693622,37.469189",73.7,14371500,195000
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",225.0,134706000,598693
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",72.5,11454000,157986
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",72.5,11454000,157986
Москва;район Обручевский;Ленинский просп.;д.99,район Обручевский,Ленинский просп.,д.99,"55.668630,37.518758",51.0,14940450,292950
Москва;район Обручевский;Ленинский просп.;д.99,район Обручевский,Ленинский просп.,д.99,"55.668630,37.518758",51.1,16096500,315000
Москва;район Обручевский;Ленинский просп.;д.99,район Обручевский,Ленинский просп.,д.99,"55.668630,37.518758",50.8,18034000,355000
Москва;район Обручевский;Ленинский просп.;д.99,район Обручевский,Ленинский просп.,д.99,"55.668630,37.518758",50.6,16445000,325000
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",62.6,8451000,135000
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",58.9,6653344,112960
Москва;район Некрасовка;ул. Вертолетчиков;д.13,район Некрасовка,ул. Вертолетчиков,д.13,"55.704017,37.940921",59.2,7442760,125722
Москва;район Некрасовка;Покровская ул.;д.17к5,район Некрасовка,Покровская ул.,д.17к5,"55.698782,37.930887",63.0,7918900,125696
Москва;район Некрасовка;ул. Вертолетчиков;д.4к9,район Некрасовка,ул. Вертолетчиков,д.4к9,"55.704022,37.948000",55.8,6475120,116041
Москва;район Некрасовка;ул. Вертолетчиков;д.4к8,район Некрасовка,ул. Вертолетчиков,д.4к8,"55.703261,37.947838",55.8,6475000,116039
Москва;район Некрасовка;ул. Вертолетчиков;д.4к7,район Некрасовка,ул. Вертолетчиков,д.4к7,"55.703951,37.946886",55.8,6475100,116041
Москва;район Лефортово;ул. Золоторожский Вал;д.11С9,район Лефортово,ул. Золоторожский Вал,д.11С9,"55.754578,37.694953",54.3,9994000,184051
Москва;район Беговой;Верхняя ул.;д.34С20,район Беговой,Верхняя ул.,д.34С20,"55.779221,37.575908",87.5,32200000,368000
Москва;район Раменки;Минская ул.;д.2кА,район Раменки,Минская ул.,д.2кА,"55.716372,37.503729",96.7,37174000,384426
