address,district,street,house_number,coords,area,full_price,weighted_price
Москва;Московский;район Град Московский;Град Московский мкр;ул. Радужная;д.25,Град Московский мкр,ул. Радужная,д.25,"55.588593,37.375665",51.7,7200000,139264
Москва;район Митино;Муравская ул.;д.42к3,район Митино,Муравская ул.,д.42к3,"55.858963,37.372970",47.3,7200000,152219
Москва;район Солнцево;Производственная ул.;д.6С20,район Солнцево,Производственная ул.,д.6С20,"55.643526,37.389292",49.3,7272716,147400
Москва;район Кузьминки;Волгоградский просп.;д.52К2,район Кузьминки,Волгоградский просп.,д.52К2,"55.706137,37.751619",45.0,7250000,161111
Москва;район Богородское;Тюменский проезд;д.3С9,район Богородское,Тюменский проезд,д.3С9,"55.810885,37.739968",36.5,7276941,199150
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к6Б,Люберецкие Поля мкр,13-й кв-л,д.к6Б,"55.703202,37.950547",77.9,7250000,93068
Москва;Зеленоград;район Крюково;просп. Георгиевский;д.37к1,район Крюково,просп. Георгиевский,д.37к1,"55.967015,37.154863",68.8,7334080,106600
Москва;район Московский;Родниковая ул.,unknown,unknown,unknown,"55.632564,37.413014",57.5,7334800,127561
Москва;район Выхино-Жулебино;Рязанский просп.;д.72К2,район Выхино-Жулебино,Рязанский просп.,д.72К2,"55.712041,37.811384",44.0,7300000,165909
Москва;район Соколиная гора;проезд Энтузиастов;д.17,район Соколиная гора,проезд Энтузиастов,д.17,"55.755621,37.718750",43.0,7300000,169767
Москва;район Московский;Родниковая ул.,unknown,unknown,unknown,"55.632564,37.413014",56.9,7315500,128567
Москва;пос. Коммунарка;район Сосенское;бул. Скандинавский;д.4к1,район Сосенское,бул. Скандинавский,д.4к1,"55.567097,37.496713",55.0,7300000,132727
Москва;район Отрадное;ул. Бестужевых;д.12А,район Отрадное,ул. Бестужевых,д.12А,"55.869233,37.607116",44.0,7350000,167045
"Москва;Московский поселение;район Сосенское;Киевское шоссе, 23-й км;д.5к1",район Сосенское,"Киевское шоссе, 23-й км",д.5к1,"55.601985,37.411472",59.9,7379680,123200
Москва;район Северное Бутово;Феодосийская ул.;д.11,район Северное Бутово,Феодосийская ул.,д.11,"55.563101,37.577202",42.7,7400000,173302
Москва;район Некрасовка;ул. Лавриненко;д.3А,район Некрасовка,ул. Лавриненко,д.3А,"55.702348,37.944820",62.3,7482000,120096
Москва;район Некрасовка;ул. Лавриненко;д.3А,район Некрасовка,ул. Лавриненко,д.3А,"55.702348,37.944820",62.4,7494000,120096
Москва;район Некрасовка;ул. Лавриненко;д.3А,район Некрасовка,ул. Лавриненко,д.3А,"55.702348,37.944820",62.1,7458000,120096
Москва;район Некрасовка;ул. Лавриненко;д.3А,район Некрасовка,ул. Лавриненко,д.3А,"55.702348,37.944820",62.4,7494000,120096
Москва;пос. Коммунарка;район Сосенское;ул. Бачуринская;д.13,район Сосенское,ул. Бачуринская,д.13,"55.576874,37.481585",40.0,7450000,186250
Москва;район Бабушкинский;ул. Летчика Бабушкина;д.15,район Бабушкинский,ул. Летчика Бабушкина,д.15,"55.863550,37.673421",46.7,7500000,160599
Москва;район Головинский;Кронштадтский бул.;д.15К1,район Головинский,Кронштадтский бул.,д.15К1,"55.842772,37.494189",38.5,7500000,194805
Москва;район Восточное Измайлово;12-я Парковая ул.;д.5,район Восточное Измайлово,12-я Парковая ул.,д.5,"55.789644,37.810045",47.8,7552400,158000
Москва;район Южное Медведково;Полярная ул.;д.7К1,район Южное Медведково,Полярная ул.,д.7К1,"55.873733,37.636105",43.4,7500000,172811
Москва;район Ростокино;ул. 1-я Леонова,unknown,unknown,unknown,"55.845192,37.639211",41.2,7568472,183789
