address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Некрасовка;Рождественская ул.;д.33,район Некрасовка,Рождественская ул.,д.33,"55.703185,37.931713",78.1,9801558,125500
Москва;район Гагаринский;ул. Косыгина;д.2,район Гагаринский,ул. Косыгина,д.2,"55.708435,37.576106",109.0,58000000,532110
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",187.0,80000000,427807
Москва;район Митино;Пятницкое ш.;д.15,район Митино,Пятницкое ш.,д.15,"55.842565,37.379186",104.7,18400000,175740
Москва;район Тверской;Цветной бул.;д.15к2,район Тверской,Цветной бул.,д.15к2,"55.771342,37.618650",143.0,69000000,482517
Москва;район Хамовники;ул. Пречистенка;д.40/2С4,район Хамовники,ул. Пречистенка,д.40/2С4,"55.739610,37.587335",124.0,89000000,717741
Москва;район Тверской;1-й Тверской-Ямской пер.;д.11,район Тверской,1-й Тверской-Ямской пер.,д.11,"55.773155,37.597208",151.0,95000000,629139
Москва;район Арбат;Малый Новопесковский пер.;д.8,район Арбат,Малый Новопесковский пер.,д.8,"55.749633,37.577561",184.0,189061200,1027506
Москва;район Тверской;ул. Охотный Ряд;д.2,район Тверской,ул. Охотный Ряд,д.2,"55.757131,37.617114",168.5,297330247,1764571
Москва;район Даниловский;Даниловская наб.;д.4к2,район Даниловский,Даниловская наб.,д.4к2,"55.709434,37.641719",63.0,14987000,237888
Москва;район Хорошевский;Чапаевский пер.;д.3,район Хорошевский,Чапаевский пер.,д.3,"55.798480,37.520671",154.0,79890000,518766
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",223.7,110000000,491729
Москва;район Тверской;Большой Каретный пер.;д.24с2,район Тверской,Большой Каретный пер.,д.24с2,"55.772740,37.616494",95.0,35000000,368421
Москва;район Хорошевский;Ходынский бул.;д.19,район Хорошевский,Ходынский бул.,д.19,"55.788581,37.520734",140.0,42500000,303571
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",75.2,7486000,99547
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",82.2,7965000,96897
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",80.6,7979000,98995
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",79.2,8094000,102196
Москва;район Куркино;Ландышевая ул.;д.12К1,район Куркино,Ландышевая ул.,д.12К1,"55.885332,37.389095",114.9,21000000,182767
Москва;район Тимирязевский;Дмитровское ш.;д.13А,район Тимирязевский,Дмитровское ш.,д.13А,"55.818397,37.573537",117.8,25621000,217495
Москва;район Щукино;Авиационная ул.;д.77к2,район Щукино,Авиационная ул.,д.77к2,"55.809348,37.450863",99.3,27169000,273605
Москва;район Хорошево-Мневники;Шелепихинская наб.;д.34к2,район Хорошево-Мневники,Шелепихинская наб.,д.34к2,"55.762789,37.508984",99.2,27806000,280302
Москва;район Хорошево-Мневники;Шелепихинская наб.;д.34к2,район Хорошево-Мневники,Шелепихинская наб.,д.34к2,"55.762789,37.508984",95.8,27812000,290313
Москва;район Щукино;Щукинская ул.;д.2,район Щукино,Щукинская ул.,д.2,"55.809636,37.481927",100.0,29950000,299500
Москва;район Мещанский;Цветной бул.;д.22С4,район Мещанский,Цветной бул.,д.22С4,"55.770937,37.623600",90.0,42000000,466666
