address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Центральный;ул. Некрасова;д.8,район Центральный,ул. Некрасова,д.8,"59.939185,30.351343",97.8,16550000,169222
Санкт-Петербург;район Петроградский;Съезжинская ул.;д.29,район Петроградский,Съезжинская ул.,д.29,"59.953993,30.302627",123.0,16620000,135121
Санкт-Петербург;Пушкин;район Пушкинский;ул. Глинки;д.17,район Пушкинский,ул. Глинки,д.17,"59.714196,30.430161",132.0,16750000,126893
Санкт-Петербург;Пушкин;район Пушкинский;ул. Глинки;д.17,район Пушкинский,ул. Глинки,д.17,"59.714196,30.430161",127.2,16750000,131682
Санкт-Петербург;район Василеостровский;13-я Васильевского острова линия;д.44,район Василеостровский,13-я Васильевского острова линия,д.44,"59.941831,30.269371",164.4,16800000,102189
Санкт-Петербург;район Центральный;Боровая ул.;д.9,район Центральный,Боровая ул.,д.9,"59.921358,30.347471",148.0,17000000,114864
Санкт-Петербург;район Центральный;4-я Советская ул.;д.17/8,район Центральный,4-я Советская ул.,д.17/8,"59.933546,30.368994",133.8,16900000,126307
Санкт-Петербург;район Василеостровский;17-я Васильевского острова линия;д.70,район Василеостровский,17-я Васильевского острова линия,д.70,"59.946347,30.257190",150.5,17000000,112956
Санкт-Петербург;район Красногвардейский;ул. Тарасова;д.8,район Красногвардейский,ул. Тарасова,д.8,"59.949821,30.412141",171.0,16900000,98830
Санкт-Петербург;пос. Александровская;район Пушкинский;ул. Полевая;д.21,район Пушкинский,ул. Полевая,д.21,"59.725712,30.343285",173.5,17000000,97982
Санкт-Петербург;район Петроградский;Кронверкский просп.;д.47,район Петроградский,Кронверкский просп.,д.47,"59.956813,30.311817",130.0,17000000,130769
Санкт-Петербург;район Кировский;просп. Ветеранов;д.75к3,район Кировский,просп. Ветеранов,д.75к3,"59.839032,30.227932",176.5,17000000,96317
Санкт-Петербург;район Кировский;Ленинский просп.;д.111к1,район Кировский,Ленинский просп.,д.111к1,"59.851394,30.242350",140.7,17118000,121663
Санкт-Петербург;район Приморский;просп. Сизова;д.22,район Приморский,просп. Сизова,д.22,"60.010317,30.273629",144.8,17300000,119475
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.45,район Петроградский,просп. Большой Петроградской стороны,д.45,"59.960994,30.304675",148.5,17200000,115824
Санкт-Петербург;пос. Репино;район Курортный;Зеленогорское ш.;д.12к1,район Курортный,Зеленогорское ш.,д.12к1,"60.168110,29.887120",200.0,17500000,87500
Санкт-Петербург;район Невский;Шлиссельбургский просп.;д.9,район Невский,Шлиссельбургский просп.,д.9,"59.840053,30.491623",180.0,17500000,97222
Санкт-Петербург;район Петроградский;ул. Всеволода Вишневского;д.10,район Петроградский,ул. Всеволода Вишневского,д.10,"59.967110,30.301594",114.0,17500000,153508
Санкт-Петербург;район Центральный;Полтавская ул.;д.5/29,район Центральный,Полтавская ул.,д.5/29,"59.927748,30.369336",130.0,17500000,134615
Санкт-Петербург;район Центральный;Загородный просп.;д.17,район Центральный,Загородный просп.,д.17,"59.925245,30.339575",180.4,17500000,97006
Санкт-Петербург;район Выборгский;просп. Энгельса;д.53,район Выборгский,просп. Энгельса,д.53,"60.015583,30.323297",142.2,17600000,123769
Санкт-Петербург;район Центральный;Кирочная ул.;д.32-34,район Центральный,Кирочная ул.,д.32-34,"59.944098,30.362994",151.6,17600000,116094
Санкт-Петербург;район Центральный;5-я Советская ул.;д.11-13,район Центральный,5-я Советская ул.,д.11-13,"59.934740,30.368770",133.6,17859000,133675
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.50,район Петроградский,Каменноостровский просп.,д.50,"59.970718,30.306642",153.4,18000000,117340
Санкт-Петербург;район Петроградский;Мичуринская ул.;д.19,район Петроградский,Мичуринская ул.,д.19,"59.956444,30.326998",157.0,17900000,114012
