address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Петроградский;Вязовая ул.;д.8,район Петроградский,Вязовая ул.,д.8,"59.967691,30.276109",396.8,238080000,600000
Санкт-Петербург;район Петроградский;Вязовая ул.;д.8,район Петроградский,Вязовая ул.,д.8,"59.967691,30.276109",387.0,238860000,617209
Санкт-Петербург;район Петроградский;Вязовая ул.;д.8,район Петроградский,Вязовая ул.,д.8,"59.967691,30.276109",398.1,238860000,600000
Санкт-Петербург;район Петроградский;Вязовая ул.;д.8,район Петроградский,Вязовая ул.,д.8,"59.967691,30.276109",398.0,238800000,600000
Санкт-Петербург;район Центральный;Невский просп.;д.103,район Центральный,Невский просп.,д.103,"59.929628,30.368051",1110.0,240000000,216216
Санкт-Петербург;район Центральный;наб. Воскресенская;д.4,район Центральный,наб. Воскресенская,д.4,"59.950600,30.372354",904.0,249000000,275442
Санкт-Петербург;район Приморский;Сестрорецкая ул.;д.2,район Приморский,Сестрорецкая ул.,д.2,"59.986952,30.294102",2420.3,255000000,105358
Санкт-Петербург;район Приморский;Сестрорецкая ул.;д.2,район Приморский,Сестрорецкая ул.,д.2,"59.986952,30.294102",2411.7,255000000,105734
Санкт-Петербург;район Приморский;Сестрорецкая ул.;д.2,район Приморский,Сестрорецкая ул.,д.2,"59.986952,30.294102",2421.1,255000000,105324
Санкт-Петербург;район Петроградский;2-я Березовая аллея;д.34,район Петроградский,2-я Березовая аллея,д.34,"59.977539,30.282244",336.0,260000000,773809
Санкт-Петербург;район Центральный;наб. Канала Грибоедова;д.37,район Центральный,наб. Канала Грибоедова,д.37,"59.931567,30.321941",1000.0,290000000,290000
Санкт-Петербург;район Петроградский;наб. Реки Малой Невки;д.33А,район Петроградский,наб. Реки Малой Невки,д.33А,"59.974977,30.285451",468.0,320000000,683760
Санкт-Петербург;район Центральный;Парадная ул.;д.3к2,район Центральный,Парадная ул.,д.3к2,"59.940776,30.369471",434.0,390000000,898617
Санкт-Петербург;район Петроградский;Ждановская ул.;д.45,район Петроградский,Ждановская ул.,д.45,"59.962719,30.267485",529.0,400000000,756143
Санкт-Петербург;район Петроградский;1-я Березовая аллея;д.7,район Петроградский,1-я Березовая аллея,д.7,"59.978620,30.294398",284.0,419000000,1475352
Санкт-Петербург;район Петроградский;Мытнинская наб.;д.3,район Петроградский,Мытнинская наб.,д.3,"59.948852,30.306283",608.0,450000000,740131
Санкт-Петербург;район Петроградский;наб. Реки Крестовки;д.3Ас1,район Петроградский,наб. Реки Крестовки,д.3Ас1,"59.975319,30.281975",1360.0,450000000,330882
Санкт-Петербург;район Центральный;Дворцовая наб.;д.10,район Центральный,Дворцовая наб.,д.10,"59.944859,30.324636",351.0,500000000,1424501
Санкт-Петербург;район Петроградский;наб. Мартынова;д.74,район Петроградский,наб. Мартынова,д.74,"59.975936,30.246455",1211.8,520000000,429113
Санкт-Петербург;район Петроградский;Ждановская ул.;д.45,район Петроградский,Ждановская ул.,д.45,"59.962719,30.267485",536.5,536500000,1000000
Санкт-Петербург;район Петроградский;Ждановская ул.;д.45,район Петроградский,Ждановская ул.,д.45,"59.962719,30.267485",536.5,536500000,1000000
Санкт-Петербург;район Центральный;наб. Кутузова;д.24,район Центральный,наб. Кутузова,д.24,"59.948658,30.340581",494.8,680000000,1374292
Санкт-Петербург;район Центральный;2-я Советская ул.;д.5,район Центральный,2-я Советская ул.,д.5,"59.932500,30.365617",163.0,14300000,87730
Санкт-Петербург;район Центральный;ул. Некрасова;д.36,район Центральный,ул. Некрасова,д.36,"59.938937,30.359194",180.9,15000000,82918
Санкт-Петербург;район Петроградский;ул. Блохина;д.33,район Петроградский,ул. Блохина,д.33,"59.952768,30.291757",203.0,16900000,83251
